id,Row,Plot,ID2,PH,BTF,FTR,ND,FL
1,1,1,8759,99.4,68.35,-1.5,7.5,54
2,1,2,8760,71.95,49.75,1.8,5.5,61.4
3,1,3,8761,91.55,63.2,-1.95,9.5,70.4
4,1,6,8763,NA,NA,NA,NA,64.2
5,1,7,8764,108.95,85.9,7.8,7.5,62.8
6,1,8,8765,106.6,76.65,1.45,7.5,53.2
7,1,9,8766,70.95,49.9,-6.75,9.5,56.4
8,1,10,8767,80.9,65.1,-13.2,8.5,50.4
9,2,1,8768,84.5,63.1,-0.55,8,58.4
10,2,2,8769,87.2,72.55,-10.25,10.5,57.4
11,2,3,8770,71.15,44.9,-8.65,6.5,57
12,2,4,8771,63.7,51.75,-13.8,12.5,82
13,2,5,8772,107.95,94.1,-10.15,11.5,59
14,2,6,8773,101.75,75.35,2.9,7,51.6
15,2,7,8774,104.8,74.25,-9.9,9,65.4
16,2,8,8775,89.1,51.85,17.45,5.5,56.4
17,2,9,8776,97.65,80,-10.25,10,55.2
18,2,10,8777,112.15,69.7,10.35,8.5,56.2
19,3,1,8778,101.6,64.9,10.35,5.5,49
20,3,2,8779,NA,NA,NA,NA,64.6
21,3,3,8780,83.25,50.6,6.95,7,65.6
22,3,4,8781,82.15,42.7,12.4,6,62.2
23,3,5,8782,128.15,96.7,-0.25,9.5,61.2
24,3,6,8783,82.55,50.2,-3.25,7.5,67.6
25,3,7,8784,101.1,70.2,2.3,9,66
26,3,8,8785,77.4,52.8,-12.4,10,64.2
27,3,9,8786,110.05,89.25,-4.3,9.5,61.4
28,3,10,8787,77.65,49.8,3.65,8,64.4
29,4,1,8788,112.5,88.15,-6.5,8,55.2
30,4,2,8789,120.55,80.3,15.5,8,64.4
31,4,3,8790,83.2,53.45,3.7,6,54
32,4,4,8791,97.7,68.4,1.75,8.5,56.2
33,4,5,8792,78,68,-11.8,9,60.2
34,4,6,8793,70.4,53.15,-10.75,8.5,64.8
35,4,7,8794,90.55,55.75,-0.55,9,61
36,4,8,8795,91.2,72.85,-10.5,7.5,50.4
37,4,9,8796,44.95,34,-4.1,8.5,53.4
45,5,2,8798,67.5,42.7,6.15,9.5,68.8
46,5,3,8799,73.35,62.25,-2.3,10,67.6
47,5,4,8800,79.8,49.7,2.45,9.5,70.8
48,5,5,8801,125.4,87.35,11.15,8.5,57.8
49,5,6,8802,121.75,89.95,1.15,6.5,49.2
50,5,7,8803,112.8,93.95,-10.8,9,60.4
51,5,8,8804,83.95,61.1,-5.55,8.5,58.6
52,5,9,8805,84.7,52.7,0.6,9,56
53,5,10,8806,NA,NA,NA,NA,73
54,6,1,8807,104.05,75.2,-3.85,10.5,64.8
55,6,2,8808,98.8,84.2,-9.95,10,57
56,6,3,8809,106.85,71.75,12.2,6,49.2
