fileName,cameraAngle,medianLeafCount,maxLeafCount,leafAngle,stalkHeight,panicleExsertion
.,NaN,NaN,NaN,NaN,NaN,NaN
..,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_123_2018-02-02_02-55-39_6841500,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_12_2018-02-02_01-32-21_6838700,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_1744_2018-02-09_02-55-01_7056000,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_658813_2018-02-07_01-56-14_6993500,Vis_SV_108,10,10,37.03354646,569,NaN
1-26-18_Sorghum_seed_658860_2018-01-26_02-56-00_6701600,Vis_SV_108,3,5,NaN,NaN,NaN
1-26-18_Sorghum_seed_659270_2018-02-02_12-35-17_6837800,Vis_SV_72,3,3,7.260619005,402,23
1-26-18_Sorghum_seed_915-001-PI 658758_2018-02-07_02-23-34_6994600,Vis_SV_72,9,12,95.96681642,572,25
1-26-18_Sorghum_seed_915-002-PI 658759_2018-02-07_02-33-34_6995000,Vis_SV_0,6,8,104.7067405,1386,NaN
1-26-18_Sorghum_seed_915-003-PI 658760_2018-01-26_02-20-56_6700400,Vis_SV_72,5,5,59.21460839,534,NaN
1-26-18_Sorghum_seed_915-004-PI 658761_2018-01-26_02-34-40_6701100,Vis_SV_144,4,4,76.09242602,574,NaN
1-26-18_Sorghum_seed_915-007-PI 658764_2018-01-26_01-07-35_6697300,Vis_SV_0,8,8,52.95037347,333,105
1-26-18_Sorghum_seed_915-008-PI 658765_2018-01-29_01-51-38_6789600,Vis_SV_144,5,5,31.58319388,172,365
1-26-18_Sorghum_seed_915-008-PI 658765_2018-01-29_02-07-17_6790600,Vis_SV_72,5,6,44.28916128,212,327
1-26-18_Sorghum_seed_915-009-PI 658766_2018-01-26_12-30-12_6695800,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-010-PI 658767_2018-01-26_02-09-47_6699800,Vis_SV_144,7,8,110.2745789,419,10
1-26-18_Sorghum_seed_915-011-PI 658768_2018-01-26_12-42-38_6696300,Vis_SV_0,3,3,65.35620323,280,63
1-26-18_Sorghum_seed_915-012-PI 658769_2018-02-05_01-47-15_6944800,Vis_SV_144,6,7,83.35569196,1173,NaN
1-26-18_Sorghum_seed_915-014-PI 658771_2018-02-05_01-57-14_6945200,Vis_SV_0,6,8,70.82605231,679,NaN
1-26-18_Sorghum_seed_915-015-PI 658772_2018-02-05_01-31-57_6944200,Vis_SV_72,11,11,41.76704759,546,17
1-26-18_Sorghum_seed_915-016-PI 658773_2018-02-05_01-30-00_6944100,Vis_SV_144,10,12,137.9684905,445,NaN
1-26-18_Sorghum_seed_915-017-PI 658774_2018-01-26_02-17-02_6700200,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-018-PI 658775_2018-02-05_01-20-10_6943600,Vis_SV_108,7,8,42.12421994,331,205
1-26-18_Sorghum_seed_915-019-PI 658776_2018-01-26_02-07-18_6699700,Vis_SV_36,3,4,35.25471695,477,NaN
1-26-18_Sorghum_seed_915-020-PI 658777_2018-01-26_02-04-50_6699600,Vis_SV_144,3,3,43.79736174,182,205
1-26-18_Sorghum_seed_915-021-PI 658778_2018-01-26_02-36-37_6701200,Vis_SV_0,8,9,169.5988799,1148,NaN
1-26-18_Sorghum_seed_915-022-PI 658779_2018-01-29_01-59-29_6790200,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-023-PI 658780_2018-01-26_01-44-59_6698800,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-024-PI 658781_2018-01-26_10-37-51_6692000,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-024-PI 658781_2018-01-26_10-52-20_6692200,NaN,NaN,NaN,NaN,NaN,NaN
1-26-18_Sorghum_seed_915-025-PI 658782_2018-02-05_03-02-41_6947400,NaN,15,17,NaN,NaN,NaN
